date,coingecko_coin_id,coin_symbol,coin_name,price_usd,price_eur,price_chf
01-01-2025,terrausd,ustc,TerraClassicUSD,0.01940719699193407,0.01875094262565182,0.01761585448798758
02-01-2025,terrausd,ustc,TerraClassicUSD,0.020077711965151575,0.01939573232283127,0.018224920627295426
03-01-2025,terrausd,ustc,TerraClassicUSD,0.020454952509041675,0.019920832789125577,0.018656205350254074
04-01-2025,terrausd,ustc,TerraClassicUSD,0.02094826698445968,0.0203134716500296,0.019036737622127733
05-01-2025,terrausd,ustc,TerraClassicUSD,0.02086707242821472,0.02023669903723078,0.01896059408995574
06-01-2025,terrausd,ustc,TerraClassicUSD,0.02161878717297573,0.020979216973250416,0.019658373933343114
07-01-2025,terrausd,ustc,TerraClassicUSD,0.021347278833875955,0.020559244035723425,0.019325691528307903
08-01-2025,terrausd,ustc,TerraClassicUSD,0.01962651428868659,0.0189729906159019,0.017848352094131586
09-01-2025,terrausd,ustc,TerraClassicUSD,0.018880742640231797,0.0183041625214844,0.017200790802331892
10-01-2025,terrausd,ustc,TerraClassicUSD,0.018368969319676774,0.01783828979603131,0.016755953385777317
11-01-2025,terrausd,ustc,TerraClassicUSD,0.018785445730550836,0.018315640518275493,0.0172088396267229
12-01-2025,terrausd,ustc,TerraClassicUSD,0.01850296636578288,0.01804375974651688,0.016953601974177685
13-01-2025,terrausd,ustc,TerraClassicUSD,0.018194063857665758,0.01776104513785331,0.016681172865709276
14-01-2025,terrausd,ustc,TerraClassicUSD,0.017638683979666604,0.01717462784284555,0.01614581632236354
15-01-2025,terrausd,ustc,TerraClassicUSD,0.018282938074201033,0.0177419642195235,0.016683711197912593
16-01-2025,terrausd,ustc,TerraClassicUSD,0.019048161567775113,0.018504527036630816,0.01737670443836442
